item_id,fable,option_a,option_b,option_c,option_d,option_e,correct_idx,correct_moral
morables_148,"During the summer, the ant went around the fields collecting grains of wheat and barley so that he could store up some food for the winter. A dung beetle watched the ant and decided that he must be a wretched creature since he worked all the time, never taking a moment's rest, unlike the other animals. The ant didn't pay attention to the dung beetle and simply went about his business. When winter came and the dung was washed away by the rain, the beetle grew hungry. He went to the ant and begged him to share a little bit of his food. The ant replied, 'O beetle, if you had done some work yourself instead of making fun of me while I was working so hard, then you would not need to be asking me for food.'",There's a time for work and a time for play.,Union is strength.,Diligence outshines derision.,"Industrious and prudent, beware of empty promises made during good times.",Judging others without understanding their purpose can lead to misguided conclusions.,0,There's a time for work and a time for play.
morables_149,"During the wintertime, an ant was living off the grain that he had stored up for himself during the summer. The cricket came to the ant and asked him to share some of his grain. The ant said to the cricket, 'And what were you doing all summer long, since you weren't gathering grain to eat?' The cricket replied, 'Because I was busy singing I didn't have time for the harvest.' The ant laughed at the cricket's reply, and hid his heaps of grain deeper in the ground. 'Since you sang like a fool in the summer,' said the ant, 'you better be prepared to dance the winter away!'",Prepare for the future.,Even those who work hard may find their material wealth undone by the greed of others.,Prudence today secures tomorrow.,Don't take your prudent friends for improvident foes.,Mocking others' misfortunes may blind you to your own vulnerabilities.,0,Prepare for the future.
morables_150,"The ant and the fly were bitterly arguing about who was more important. The fly presented her case first. 'Do you really mean to compare yourself to my exalted status? I pass my time among the altars, I wander through the temples of the gods; whenever there is a sacrifice, I am the first to taste all the entrails; I can sit on the head of the king if I want and I enjoy the forbidden kisses of all the married women; I do not work and yet I reap the very best of all the spoils. What has life given you that can compare with all that I have, you country bumpkin!' The ant replied, 'It is truly a wonderful thing to dine at the gods' table, but only for someone whom the gods have invited, not for someone whom they hate. You say that you frequent their altars? Agreed, but you are driven away as soon as you arrive. As for the kings you mention and the women's kisses, you are boasting about something that it is shameful to mention. Moreover, if you do no work then it is no surprise that you have nothing at hand when you need it. I, on the other hand, assiduously gather a store of grain for the winter, while I see you feeding on manure piled up against the walls. Later on, when the cold winds make you shrivel up and die, I am safe and at peace in my well furnished abode. Now that it is summer you try to provoke me, but in winter you have nothing to say. That should be enough to take the edge off your pride.'",Work honestly and you won't be scorned.,We must make friends in prosperity if we would have their help in adversity.,Unchecked ambition leads to a fall from grace.,No prudent one gladly revisits a boastful place where they got hurt.,Vanity often conceals emptiness.,0,Work honestly and you won't be scorned.
morables_151,"An ant was thirsty and went down to a spring expecting to take a drink of water, but instead he found himself in danger of drowning. A pigeon snapped off a leaf from a nearby tree and threw it to the ant so that he could save himself by climbing up onto the leaf. Meanwhile, a bird catcher showed up and prepared his limed reeds, intending to capture the pigeon. The ant then bit the bird catcher on the foot which caused the bird catcher to shake his limed reeds, warning the pigeon who flew off to safety.",One good turn deserves another.,"It is very unwise, even for the greatest of men, to provoke the least, as they may find a way to enact revenge.",Kindness can quench danger.,Precious things are for those alert and kind enough to prize them.,"In seeking relief, be mindful of hidden perils.",0,One good turn deserves another.
morables_152,"Long ago, the creature who is today an ant used to be a man who was always busy farming. Still, he was not satisfied with the results of his own labour, so he would steal from his neighbours' crops. Zeus became angry at his greedy behaviour and turned him into the animal that now has the name of 'ant.' Yet even though the man changed his shape, he did not change his habits, and even now he goes around the fields gathering the fruits of other people's labour, storing them up for himself.","When someone with a wicked nature changes his appearance, his behaviour remains the same.",Often there is more good to be found in one man than in a crowd of people.,Greed transforms satisfaction into anger.,Good things happen less often to the greedy and unsatisfied.,Diligence can transform one's nature.,0,"When someone with a wicked nature changes his appearance, his behaviour remains the same."
morables_153,"Once upon a time, the gods selected the trees which they wished to adopt as their own. Jupiter chose the oak tree, while Venus preferred the myrtle tree, Apollo the laurel, and Cybebe the pine, while Hercules chose the lofty poplar. Minerva was surprised and asked them why they had chosen trees which bore no fruit. Jupiter explained, 'We do not want to appear to bestow these honours on the trees as if in exchange for their fruit.' 'For Heaven's sake,' said Minerva, 'you can say whatever you want, but the olive tree appeals to me precisely because of the fruit that it yields!' Then the father of gods and begetter of mortals said, 'O my daughter, you are rightly called the goddess of wisdom by one and all: public acclaim is sheer foolishness, unless we are able to produce something that is useful.'",True value comes from usefulness.,Coffers of cash put a stop to honest traffic in praise.,Wisdom lies in selective choices.,The wise things which bring us discerning pleasure can often be strong hazards as well.,Even the mightiest seek symbols of strength and beauty.,0,True value comes from usefulness.
morables_154,"The olive-tree ridiculed the Fig-Tree because, while she was green all the year round, the Fig-Tree changed its leaves with the seasons. A shower of snow fell upon them, and, finding the Olive full of foliage, it settled upon its branches and broke them down with its weight, at once despoiling it of its beauty and killing the tree. But finding the Fig-Tree denuded of leaves, the snow fell through to the ground, and did not injure it at all.",Brag and nature may bring you down.,Fortune can occasionally bestow favours that exceed a person's hopes and expectations.,Pride can mask vulnerability.,"What we are forced to do by a greater, vulnerable power and necessity is not truly our own action.","True strength lies in adapting to change, not resisting it.",0,Brag and nature may bring you down.
morables_155,"The cricket was making a great deal of noise and this greatly annoyed the owl, since she was accustomed to seek out her food in the darkness of night and to sleep during the day inside the hollowed-out branch of a tree. The owl thus asked the cricket to keep quiet, which only provoked the cricket to make an even greater racket. Again the owl asked the cricket to keep quiet, and this triggered a still greater outburst of noise. When the owl saw that she was accomplishing nothing since the cricket simply scorned her requests, she decided to trick the chattering insect. 'Given that I cannot sleep because of your singing,' said the owl, 'which of course one might easily mistake for the tuneful strains of Apollo's lyre, I've decided to drink some of the nectar which Athena recently gave me as a gift. Please come and let's drink it together, if that meets with your approval.' The cricket happened to be extremely thirsty and she was also quite pleased by the compliments which the owl had paid to her singing, so she gladly flew to where the owl was waiting. The owl then sealed up the entrance and seized the trembling cricket and brought an end to her life: what the cricket refused to do while living, she conceded in death.","He who does not conform to courtesy, mostly pays the penalty of his conceited behaviour.",Vanity can blind one to their true worth in the eyes of others.,Cunning silence outwits noisy gullibility.,The gullible weak may find a cunning way to avenge a wrong.,Disregarding others' needs can lead to unnecessary conflict.,0,"He who does not conform to courtesy, mostly pays the penalty of his conceited behaviour."
morables_156,"A wicked man had gone to visit Apollo in Delphi, wanting to test the god. He took a sparrow in one hand, concealing it with his cloak, and then stood by the oracle and inquired of the god, 'Apollo, the thing that I am carrying in my hand: is it living, or is it dead?' The man planned to show the sparrow alive if the god said 'dead,' and if the god said 'living,' he would strangle the sparrow immediately and present the dead bird. But the god recognized the man's evil purpose, and said, 'Listen, do whatever you want: it is entirely up to you whether you will show me something living or dead!'",Do not mock the gods.,Relying on chance can leave you exposed to the elements of life.,Cunning often deceives the innocent.,The cunning value of money is not in its possession but in its wise use.,"Even when granted freedom, one's true nature can never be concealed.",0,Do not mock the gods.
morables_157,"A creeping snake who had been stepped on by many people made his way to the temple of Apollo and went inside. Apollo immediately explained to the snake, 'If you had simply killed the first person who stepped on you, no one would ever have dared to step on you again!'","If people who have previously committed a crime are swiftly punished, then others will become afraid on their account.","Sometimes, Wicked people commit crime in haste but are not punished until much later.",Immediate actions often lack depth.,"Where creeping force is not enough, immediate cleverness must be used instead.",Seeking refuge can lead to unexpected sanctuaries.,0,"If people who have previously committed a crime are swiftly punished, then others will become afraid on their account."
morables_158,"Someone saw a black man from India washing himself in a river and said to him, 'You better keep still and not stir up the mud in the water, or you are never going to turn that body of yours white!'",Some things you cannot change.,Honesty is the best policy.,Observant eyes see beyond the surface.,Life is an observant mixture of grief and commenting joy.,"True change comes from within, not from altering appearances.",0,Some things you cannot change.
morables_159,"The pomegranate and the apple tree were debating about their beauty. They had both gone on at great length arguing back and forth when a bramble bush in a nearby hedge heard them and said, 'Dear friends, let us put a stop to our quarrel.'",Everyone thinks themselves the best.,Brag and nature may bring you down.,Peaceful intervention quells arguments.,"Better peaceful poverty without care, than argumentative riches with.",Debate sharpens understanding and reveals hidden truths.,0,Everyone thinks themselves the best.
morables_160,"A man had placed a carved image on his donkey and was leading him along. Many people bowed down when they met them along the way. The donkey grew arrogant, thinking that the country folk were bowing down before him, so he began to leap and prance. As he did so, the donkey almost threw the image of the god from his back. The donkey's master beat him with a stick and said, 'You are a donkey carrying a god on your back, but that does not mean you deserve to be worshipped as a god!'",Do not take credit for the accomplishments of others.,Easy life and seeming good fortune of others conceal a threat to their welfare.,Arrogance blinds the misguided.,"When arrogant public officials encourage misguided foolishness, it's no surprise if fools try to become public officials.",True value is not in appearances but in understanding.,0,Do not take credit for the accomplishments of others.
morables_161,"A bald man asked his neighbour, a gardener, to give him some of his pumpkins. The gardener laughed at him and said, 'Go away, baldy, go away! I'm not giving any of my pumpkins to riffraff like you. Damn you and your baldness, in winter and summer -- I hope flies and bugs land all over your bald head and bite you and drink your blood and poop on your head!' The bald man got angry and drew his sword. He seized the gardener by the hair, intending to kill him, but the gardener grabbed one of his pumpkins and hit the bald man on the head. In the end, the bald man was too strong for him and he cut off the gardener's head.",Those who refuse to share and respond with rudeness may face dire consequences for their actions.,Intent matters more than the outcome.,Strength is lost in anger.,Angry vices are their own mocking punishment.,Mockery may sow the seeds of missed opportunities.,0,Those who refuse to share and respond with rudeness may face dire consequences for their actions.
morables_162,"A Monkey once danced in an assembly of the Beasts, and so pleased them all by his performance that they elected him their King. A Fox, envying him the honor, discovered a piece of meat lying in a trap, and leading the Monkey to the place where it was, said that she had found a store, but had not used it; she had kept it for him as treasure trove of his kingdom, and counseled him to lay hold of it. The Monkey approached carelessly and was caught in the trap; and on his accusing the Fox of purposely leading him into the snare, she replied, 'O Monkey, and are you, with such a mind as yours, going to be King over the Beasts?'",The true leader proves himself by his qualities.,Flatterers and deceivers are not to be trusted.,Envy blinds the gullible.,Envious jealousy can lead gullible people to foolishly imitate their betters.,Blame is often a refuge for the unprepared.,0,The true leader proves himself by his qualities.
morables_163,"There was once an eagle who stole the cubs of a fox and carried them off to her nest as food for her chicks to peck at. The mother fox set off in pursuit, begging the eagle not to impose this unbearable loss on such a miserable creature as herself. The eagle scoffed at her request, fully confident in the loftiness of her own position. The fox then snatched a burning faggot from the altar and completely surrounded the tree with flames, threatening pain to her enemy at the cost of her own flesh and blood. The eagle conceded: in order to snatch her chicks from the maw of death, she returned the fox's cubs unharmed.",Even a high and mighty person should beware of his inferiors; their ingenuity can find a way to take revenge.,God is the ultimate judge.,Confidence can shield the vulnerable.,Do not expect to be defended by someone who is helpless and cannot offer any vulnerable protection.,Acts of selfishness can sow seeds of future conflict.,0,Even a high and mighty person should beware of his inferiors; their ingenuity can find a way to take revenge.
morables_164,"The fox ran into the cat and asked, 'How many tricks and dodges do you know?' The cat replied, 'Actually, I don't know more than one.' The fox then asked the cat, 'What trick is that?' The cat said, 'When the dogs are chasing me, I know how to climb trees and escape.' The cat then asked the fox, 'And how many tricks do you know?' The fox said, 'I know seventeen, and that gives me a full bag of tricks! Come with me, and I'll show you my tricks so that the dogs won't be able to catch you.' The cat agreed and the two of them went off together. The hunters began to chase them with their dogs, and the cat said, 'I hear the dogs; I'm scared.' The fox replied, 'Don't be afraid! I will give you a good lesson in how to get away.' The dogs and the hunters drew nearer. 'Well,' said the cat, 'I'm going to have to leave you now; I want to do my trick.' And so the cat jumped up in the tree. The dogs let the cat go and chased the fox until they caught him: one of the dogs grabbed the fox by the leg, another grabbed his belly, another his back, another his head. The cat who was sitting up high in the tree shouted, 'Fox! Fox! Open up your bag of tricks! Even so, I'm afraid all of them put together are not going to save you from the hands and teeth of those demons!'",A single reliable skill is worth more than a bag of useless tricks,Don't promise more than you can deliver.,Overconfidence can overshadow cunning.,Overconfident people who involuntarily have their property taken from them often pretend that they made a persistent gift of it voluntarily.,Boasting of cleverness is futile when true danger looms.,0,A single reliable skill is worth more than a bag of useless tricks
morables_165,"A shepherd found a new-born wolf cub. Taking it home, he raised it with his dogs. After the cub had grown up, he would join the dogs in the chase if a prowling wolf ever stole one of the sheep. When the dogs were no longer able to keep up with the other wolf and turned back for home (as sometimes happened), the wolf would continue the chase until he caught the other wolf and received an equal share of the prey, true to his wolf's nature. Then he too would go back home. If, however, no wolves came to seize the sheep, he would secretly slaughter one of the sheep and eat it together with the dogs. When the shepherd finally guessed what was happening, he hanged the wolf from a tree and killed him.",A wicked nature does not produce a good character.,"When people won't listen to reason through kind means, they must be made to understand through harsh ones.",Loyalty outshines cunning.,"Rewards do not always accompany a lifetime of tireless, loyal good work.",Nurture can transcend nature's instincts.,0,A wicked nature does not produce a good character.
morables_166,"There was a jackdaw who was bigger than the other jackdaws. Scorning his fellows, he joined the company of the ravens, having decided to spend his life as a member of their flock. The ravens, however, did not recognize the voice of this bird or his appearance, so they attacked him and drove him away. Rejected by the ravens, he went back again to the jackdaws. But the jackdaws were angry about his presumptuous behaviour and refused to accept him. The final result was that the jackdaw had nowhere to go.",Be true to your roots.,"It is better by far to be governed by one chief, than by many.",Rejection breeds resentment.,Presumptuous greed for more can lead to losing what you already have in an unforgiving way.,"True greatness is measured by character, not size.",0,Be true to your roots.
morables_167,"A young rooster was looking for food in the manure when he found a pearl. 'What a fine thing you are,' he exclaimed, 'and in what an unfortunate situation! If a person longing to possess something of such value had found you, you would have been restored to your original splendour. Yet it is I who have found you, when I would have much preferred to find some food instead. So this isn't going to do you any good, and it doesn't do me any good either!'",True value is wasted on those who cannot appreciate it.,People often grasp for more than they need and thus lose the little they have.,Youthful hunger can lead to misfortune.,Boast of one young thing and you will be found lacking in that and a few unfortunate other things as well.,True value is recognized by those who seek it.,0,True value is wasted on those who cannot appreciate it.
morables_168,"When a man had made an axe, he asked the trees to give him a handle made of the hardest wood. The other trees selected the wood of the wild olive. The man took the handle and fitted it to his axe. Then, without a moment's hesitation, he began to chop down the trees' mighty branches and trunks, taking whatever he wanted. The oak tree then said to the ash, 'It serves us right, since we gave our enemy the handle he asked for!'",You should think twice before offering anything to your enemies.,"It is better to be injured with impunity, than to put ourselves in the power of another.",Generosity without wisdom invites regret.,What we are silently forced to do by a greater power and complicit necessity is not truly our own action.,A stubborn quest often leads to trials that test our resolve.,0,You should think twice before offering anything to your enemies.
morables_169,"The crow was making a sacrifice to Athena and invited a dog to the feast. The dog said to her, 'Why do you foolishly squander these sacrifices? The goddess clearly hates you so much that she has taken away all credibility from your omens.' The crow answered, 'That is all the more reason for me to sacrifice to her: I hope she will change her attitude towards me!'",People are often eager to treat their enemies well in the hopes of gaining something by it.,Pick your enemies.,Hope shines through skepticism.,"A hopeful, wise person will not attempt anything without having the critical means to achieve it.",Generosity can forge unlikely friendships.,0,People are often eager to treat their enemies well in the hopes of gaining something by it.
morables_170,"A wealthy Athenian was making a sea voyage with some companions. A terrible storm blew up and the ship capsized. All the other passengers started to swim, but the Athenian kept praying to Athena, making all kinds of promises if only she would save him. Then one of the other shipwrecked passengers swam past him and said, 'While you pray to Athena, start moving your arms!'",Self-effort is essential.,A learned man has always a fund of riches in himself.,True power lies in practicality.,Powerful opposites are utterly divine and incompatible.,True character is revealed when the tides turn.,0,Self-effort is essential.
morables_171,"A snake and a crab had become friends and were living together. The crab had a straightforward character and he urged the snake to change his wicked ways but the snake refused to follow the crab's good advice. So the crab kept an eye on the snake and when he found him sleeping he grabbed the snake by the neck and squeezed him to death between his claws. As he was dying, the snake stretched out straight. The crab then remarked, 'Hey, if you had been this straightforward to begin with, I would not have had to punish you for your crooked behaviour!'",Be frank and open in your dealings.,Example is more powerful than precept.,Wicked paths lead to punishing ends.,"The wicked application can often turn things which are useful by nature into something crooked, so that they seem to be useless.",True friendship requires trust and transparency.,0,Be frank and open in your dealings.
morables_172,"Around noon on a summer's day, some travellers who were exhausted by the heat caught sight of a plane tree. They went and lay down in the shade of the tree in order to rest. Looking up at the tree, they remarked to one another that the plane tree produced no fruit and was therefore useless to mankind. The plane tree interrupted them and said, 'What ungrateful people you are! You denounce my uselessness and lack of fruit at the very moment in which you are enjoying my kindness!'",Some men underrate their best blessings.,"A bad man can come to ruin, but he is able to harm many other people first.",Kindness is never wasted.,"Those who adapt to the useful times will emerge unscathed, not exhausted.","In moments of need, even the simplest shelter can be a great relief.",0,Some men underrate their best blessings.
morables_173,"Socrates had erected for himself a very modest house - and I myself would even be willing to die as Socrates died if I could achieve an equal fame, yes, I would be willing to suffer the same public disapproval if I too could be vindicated after death! Anyway, just as you would expect on such an occasion, one of his neighbours had to ask, 'Why is it, Socrates, that someone like you would build himself such a tiny little house?' 'Ah,' said Socrates, 'if only I could fill it with true friends!'",True friends are hard to find.,No curse weighs more heavily than a guilty conscience.,Curiosity fuels wisdom.,"Do not play the modest, philosophical wise man after the fact.",True greatness often requires enduring present hardships for future recognition.,0,True friends are hard to find.
morables_174,"It is common to take Maltese dogs and pet monkeys on long sea voyages in order to relieve the boredom of the passage. A man who was planning to make such a voyage had brought his monkey along with him but when the ship had reached Cape Sounion (which is a sea promontory near Athens), they were met by a fierce winter storm. The ship was capsized and everyone was thrown into the water. The monkey also started swimming and was spotted by a dolphin, who thought the monkey was a man. The dolphin swam up under the monkey and carried him through the water. When they were approaching Piraeus, the Athenian harbor, the dolphin asked the monkey if he was originally from Athens. The monkey said that he was, and that he happened to be from an illustrious family. The dolphin then asked if he knew Piraeus. The monkey thought that Piraeus must be a person's name, so he said that, yes, Piraeus was a near and dear friend of his. The dolphin was infuriated by the monkey's lying words, so he plunged the creature into the water and killed him.","Those who pretend to be what they are not, sooner or later, find themselves in deep water.",Often there is more good to be found in one man than in a crowd of people.,Helpful plans calm infuriation.,Telling the truth can sometimes be lying and infuriated dangerous.,"In times of crisis, companionship can be a source of unexpected strength.",0,"Those who pretend to be what they are not, sooner or later, find themselves in deep water."
morables_175,"In exchange for an agreed upon fee, the poet Simonides was to write a victory ode for a certain boxer. Simonides accordingly sought out a place of peace and quiet, but the unpromising subject matter hampered his artistic impulse. As a result, Simonides relied on the usual poetic license, which allowed him to include the gods Castor and Pollux as part of his poem, alluding to the renown that the sons of Leda, those celestial twins, had also enjoyed in boxing. Simonides' client praised the work but he paid the poet only one third of the agreed upon fee. When Simonides demanded the rest, his patron told him, 'Let the twins pay the rest, since their praise occupies two thirds of the poem! Of course,' the man added, 'I don't want people to think that you have been sent away in anger, so please agree to come to my house for dinner this evening. I have invited all my relatives, and I want you to be in their number as well.' Although Simonides had been cheated and was still upset about the loss he had suffered, he agreed to come, not wanting to harm his reputation by parting with his patron on bad terms. The dinner hour arrived and Simonides took his place at the table. The party sparkled with wine and good cheer, and the house resounded with the delightful sounds of the extravagant banquet, when all of a sudden two young men appeared. They were completely covered with dust and sweat, and they had the bodies of supermen. They ordered one of the servant boys to summon Simonides, urging him to be quick about it, as it was a matter of great importance. The awestruck servant roused Simonides, and the poet had barely moved one foot away from the dining room when the structure suddenly collapsed, crushing everyone beneath it. Meanwhile, there were no young men to be found at the door. When the sequence of events became generally known, everyone realized that with their presence, the gods had repaid the poet by saving his life in lieu of a fee.",Honor your craft with integrity.,Wit outshines skill.,Deceptive allure can lead to being cheated.,Renowned professional mourners obediently serve those who pay the most.,Creativity often finds inspiration in unexpected places.,0,Honor your craft with integrity.
morables_176,"A flea once jumped up onto a man's foot and sat there. The man called upon Heracles to aid him in his struggle. When the flea finally jumped off, the man groaned and said, 'O Heracles, if you refused to help me to defeat this flea, how will you exert yourself on my behalf against more powerful enemies?'",We should not call upon the gods in trivial affairs but only in dire necessity.,"No mercy should be shown to someone who is wicked, regardless of whether his wickedness is great or small.",Power can feel helpless when unresponsive.,Be careful what you wish for; your pesky wish may be powerfully granted.,Even the smallest presence can make a noticeable impact.,0,We should not call upon the gods in trivial affairs but only in dire necessity.
morables_177,"There was a man who had been away on a journey and had then come back home. He strutted about town, talking loudly and at great length about the brave deeds he had accomplished in the various lands he had visited. In Rhodes, the man said, he had jumped such a long jump that no man alive could equal it, and he claimed that there were witnesses who could back up his story. A bystander then remarked, 'Alright! If you're telling the truth, here is your Rhodes: go on and jump!'",Talking is a waste of time when you can simply provide a demonstration.,We are made by our teachings in youth.,Pride invites doubt.,Skeptical persuasion is better than challenging force.,Returning home can reveal the changes within oneself.,0,Talking is a waste of time when you can simply provide a demonstration.
morables_178,"There was a flute player named Prince who was more or less well-known, since he provided the musical accompaniment for Bathyllus the dancer. At one of their shows, I don't remember precisely which one, the stage machinery unexpectedly swung around and Prince tumbled down onto the stage. He broke his left leg and fell flat on his face (he must have been playing in the key of B-flat). They picked him up and carted him off the stage as he moaned and groaned. It took him several months to recover. Given that theatre-goers are such a sentimental and devoted lot, they began to miss him; after all, his flute playing had always roused the dancers to greater heights. A prominent citizen was about to stage a public performance and now that Prince was again able to walk using a cane, the man persuaded him with invitations (and a fee) to at least put in an appearance on the day of the show. As soon as Prince arrived, rumours of the flute player's return buzzed throughout the theatre: while some swore he was dead, others claimed that he was about to show himself to the entire audience in just a moment. Then the curtains parted and there was a thunderous clang announcing the arrival of the gods who made their usual speech, and then the chorus started in with a song that Prince did not recognize, since he had been away from the theatre for several months. The song's refrain went like this: 'Rejoice, O Rome: you are safe now that the prince is well!' The audience stood up to applaud. The flute player blew kisses to them, thinking that his fans were congratulating him on his recovery. The people in the front row seats realized the man's foolish mistake and with a roar of laughter they demanded an encore. The song was repeated, and our hero prostrated himself at full-length on the stage. The front rows continued their mock applause, while the crowd thought Prince was simply bowing in honour of the chorus. Eventually, however, the entire audience realized his mistake and at that point the 'Prince,' dressed in a white gown, his leg wrapped in a white bandage -- he even had white shoes on his feet! -- was tossed headfirst off the stage. His exit met with universal approval, since he had appropriated for himself the honours being paid to the prince of Rome, the divine Caesar himself.",Do not let fame get to your head.,Men often revert to their natural instincts.,Foolish pride injures the honored.,Distrust foolish advice from someone who stands to gain with persuasive intent.,"Even in moments of misfortune, humor can be a comforting companion.",0,Do not let fame get to your head.
morables_179,"Running swiftly, balancing on the razor's edge, bald but with a lock of hair on his forehead, he wears no clothes; if you grasp him from the front, you might be able to hold him, but once he has moved on not even Jupiter himself can pull him back: this is a symbol of Opportunity, the brief moment in which things are possible.",Seize opportunities when they arise.,Be content with your lot.,Power without purpose is ineffectual.,Boast of one powerful thing and you will be found lacking in that and a few ineffectual other things as well.,Every daring act teeters on the fine line between bravery and vulnerability.,0,Seize opportunities when they arise.
morables_180,"There was a goat grazing up high on a cliff. At the bottom of the cliff there was a wolf who wanted to catch the goat and eat her. Since it was impossible for the wolf to climb up the cliff, he stood down below and said to the goat, 'You poor creature! Why have you left the level plains and meadows in order to graze upon the cliff? Are you trying to tempt death from that height?' The goat said to the wolf in response, 'I know how often I have managed to frustrate you! What makes you think that you can now get me to come down off this cliff so that you can eat me for dinner?'",An invitation prompted by selfishness is not to be accepted.,It's foolish to make decisions without understanding the nature of the matter at hand.,Caution tempers deceptive hunger.,Seek to harm and deceptive harm shall find you.,A change in perspective can reveal new opportunities.,0,An invitation prompted by selfishness is not to be accepted.
morables_181,"There was once a Countryman who possessed the most wonderful Goose you can imagine, for every day when he visited the nest, the Goose had laid a beautiful, glittering, golden egg. The Countryman took the eggs to market and soon began to get rich. But it was not long before he grew impatient with the Goose because she gave him only a single golden egg a day. He was not getting rich fast enough. Then one day, after he had finished counting his money, the idea came to him that he could get all the golden eggs at once by killing the Goose and cutting it open. But when the deed was done, not a single golden egg did he find, and his precious Goose was dead.",People often grasp for more than they need and thus lose the little they have.,Do not expect to be defended by someone who cannot offer any protection.,Greed can tarnish the precious.,"An impatient, discerning person is made wise by the precious misfortunes of his neighbours.",Opportunity rewards those who dare to trade their hard work.,0,People often grasp for more than they need and thus lose the little they have.
morables_182,"A wolf swallowed a bone which got stuck in his throat. The pain was excruciating, so the wolf started looking for someone who could be induced to remove the accursed thing in exchange for a reward. The wolf asked each of the animals if they would help him and finally the crane was convinced by the wolf's solemn promises. Trusting her long beak to the wolf's gaping maw, the crane carried out the dangerous cure. Yet when the crane demanded the promised reward, the wolf simply said, 'You ungrateful creature! You extracted your head unharmed from my mouth and still you ask for a reward?'",Expect no reward for serving the wicked.,There is nothing more valuable than liberty.,Trust can be betrayed by cunning.,"Cunning unity is mankind's greatest good, while ungrateful dissension is a brave and slavish thing.",Desperation can turn foes into allies.,0,Expect no reward for serving the wicked.
morables_183,"There was once a frog who noticed an ox standing in the meadow. The frog was seized by a jealous desire to equal the ox in size so she puffed herself up, inflating her wrinkled skin. She then asked her children if she was now bigger than the ox. They said that she was not. Once again she filled herself full of air, straining even harder than before, and asked her children which of the two of them was bigger. 'The ox is bigger,' said her children. The frog was finally so indignant that she tried even harder to puff herself up, but her body exploded and she fell down dead.",Do not attempt the impossible.,Embrace your own strengths.,Envy blinds us to the truth before our eyes.,Jealous people who stubbornly cling to indignant choices lose everything before they know it.,Jealousy can inflate our ego.,0,Do not attempt the impossible.
morables_184,"The Good Things were too weak to defend themselves from the Bad Things, so the Bad Things drove them off to heaven. The Good Things then asked Zeus how they could reach mankind. Zeus told them that they should not go together all at once, only one at a time. This is why people are constantly besieged by Bad Things, since they are nearby, while Good Things come more rarely, since they must descend to us from heaven one by one.",Good things happen less often.,Be content with your lot.,Wisdom strengthens the weak.,The weak promises of the greedy are often empty and insincere.,Strength without virtue leads to hollow victories.,0,Good things happen less often.
morables_185,"A bald man happened to find a comb lying in the street. Another man who also had no hair on his head accosted him and said, 'Hey, you must share whatever you've found!' The first man showed him the loot and said, 'The will of the gods is on our side, but fate must have a grudge against us: as the saying goes, we've found lumps of coal, not gold!'",Expectations can lead to disappointment when reality does not match our desires.,"Gratitude should be shown through kindness, not harm.",Fortune favors the bold.,The only fortunate thing that can really bring shame on a demanding man is a punishment that he has justly deserved.,Value is subjective and often lies in the eyes of the beholder.,0,Expectations can lead to disappointment when reality does not match our desires.
morables_186,"A bald man was bitten on the head by a fly and when he tried to swat the fly he gave himself a serious slap on the head. Then the fly laughed at the man and said, 'You wanted to avenge the sting of a tiny little insect by committing murder: what are you going to do to yourself now that you have added insult to your injury?' The man replied, 'I can easily forgive myself since I know that I did not try to hurt myself on purpose. As for you, you worthless creature, spawn of a loathsome race of insects who delight in drinking human blood, I would be glad to get rid of you even if it required an even greater inconvenience to myself!'",Intent matters more than the outcome.,Those who refuse to share and respond with rudeness may face dire consequences for their actions.,Forgiveness outshines mockery.,Even frustrated self-effort is forgivingly essential.,"In anger, we may cause ourselves more harm than the initial trouble.",0,Intent matters more than the outcome.
morables_187,"There was a woman who had a middle-aged man as her lover and although she was no spring chicken herself, she concealed her age with exquisite grace. There was also a beautiful young girl who had caught the man's fancy. Both women wanted to seem a suitable partner for him, so they began plucking out his hair in turn. The man imagined that his looks were being improved by their attentions but in the end he went bald, since the young girl plucked out every one of his gray hairs, while the older woman plucked out all the black ones.",Those who seek to please everybody please nobody.,Do not fight with those who are perfectly capable of fighting back.,True beauty lies beneath the surface.,"Many middle-aged people give up their beautiful vices not out of a love for virtue, but because they can no longer continue indulging in them.",True beauty lies in the art of embracing one's own story.,0,Those who seek to please everybody please nobody.
morables_188,"A songbird was hanging in a cage in a window. A bat flew up and asked the songbird why she sang at night but was silent during the day. The songbird said that she had her reasons: it was while she had been singing once during the day that she had been captured. This had taught her a lesson, and she had vowed that she would sing only at night. The bat remarked, 'But there is no need for that now, when it won't do you any good: you should have been on your guard before you were captured!'",Precautions are useless after the crisis.,There is no wealth greater than liberty.,Curiosity must be tempered with caution.,Cautious fair weather friends are not worth much to inquisitive minds.,Freedom is often valued most when it is out of reach.,0,Precautions are useless after the crisis.
